Kennen,Diana,Hwei,KogMaw,Neeko,Teemo,LeeSin,Lucian,Jhin,-8117,200
Urgot,Rengar,Diana,Caitlyn,Morgana,Gangplank,MasterYi,Sion,Jinx,1074,200
Kled,Kindred,Syndra,Jinx,Rumble,Trundle,Kayn,Diana,Varus,-9866,200
Aatrox,Zac,Naafiri,Ezreal,Neeko,Yorick,Diana,Katarina,Ashe,842,100
Illaoi,Evelynn,Kaisa,Aphelios,Thresh,Kled,Briar,Diana,KogMaw,-2837,200
Mordekaiser,Ekko,Diana,Samira,Yuumi,Udyr,Ivern,Talon,MissFortune,8977,100
Irelia,Gwen,Fizz,Ezreal,Lux,Aatrox,Ekko,Diana,Jhin,-16288,200
Nasus,Lillia,Veigar,Yasuo,Thresh,Mordekaiser,Twitch,Diana,Jhin,-12421,200
Aatrox,Diana,Ahri,Jhin,Lux,Sett,Belveth,Katarina,Vayne,6949,100
Tryndamere,Diana,Malzahar,Smolder,Xerath,Malphite,Evelynn,Yasuo,Ashe,-16530,200
Teemo,Warwick,Diana,Ashe,Braum,Yorick,MasterYi,Ahri,Caitlyn,-1163,100
Garen,Skarner,Neeko,MissFortune,Nautilus,Aatrox,Diana,Akshan,Caitlyn,-10487,200
Zac,Volibear,Diana,Nilah,Veigar,Chogath,Skarner,Qiyana,Twitch,-10998,200
